AlternatorE,101.2,1.97,299.557275987,94380611,0
AlternatorE,102.9,1.25,21.058960353,5253181,0
AlternatorE,103.2,1.75,99.263111584,29802851,0
AlternatorE,104.0,1.25,277.733116543,103158472,0
AlternatorE,104.4,1.24,11.824003661,3371187,0
AlternatorE,104.5,4.95,507.384199287,163610424,1
AlternatorE,105.8,7.77,606.897647893,201426870,0
AlternatorE,105.9,4.55,638.177178846,212444318,0
AlternatorE,106.6,6.58,433.216424053,136376822,0
AlternatorE,109.0,1.24,190.049507266,67212004,0
AlternatorE,90.0,1.24,0.223705221,43759,0
AlternatorE,90.0,3.95,58.142061879,13242589,0
AlternatorE,90.0,6.45,53.549851886,12240679,0
AlternatorE,90.0,6.4,90.95753018,19057473,0
AlternatorE,90.0,6.95,79.688753837,18016127,0
AlternatorE,90.0,6.98,407.359442157,124176416,0
AlternatorE,90.0,7.12,306.96373271,89194524,0
AlternatorE,90.0,7.44,128.42283376,32924448,1
AlternatorE,90.0,7.69,471.837117662,150864537,0
AlternatorE,90.0,7.8,223.539480044,61935843,0
AlternatorE,90.0,7.82,304.19779904,84622789,0
AlternatorE,90.0,7.85,25.30608242,3588881,0
AlternatorE,90.0,7.86,197.326819706,44920692,0
AlternatorE,90.0,7.89,247.680447282,60631379,0
AlternatorE,90.0,7.9,624.394796733,200380595,0
AlternatorE,90.0,7.9,73.037897782,15149056,0
AlternatorE,90.1,5.23,304.483861613,90633220,0
AlternatorE,90.1,7.79,313.233803946,90388808,0
AlternatorE,90.1,7.88,293.269392482,79441961,0
AlternatorE,90.1,7.9,459.988055588,139386886,0
AlternatorE,90.2,2.45,157.97565098,44353289,0
AlternatorE,90.2,2.71,2.22719062,347922,1
AlternatorE,90.2,4.23,355.754950277,117164133,0
AlternatorE,90.2,5.96,322.855280051,97062892,0
AlternatorE,90.2,6.69,95.299727942,21733777,0
AlternatorE,90.2,6.72,6.467424115,786379,0
AlternatorE,90.2,7.87,101.463358255,23706068,0
AlternatorE,90.2,7.9,612.311179226,196468050,0
AlternatorE,90.3,7.84,422.282021383,123284731,0
AlternatorE,90.4,1.24,0.247341848,48137,0
AlternatorE,90.4,2.8,424.563634297,147426447,0
AlternatorE,90.4,3.01,109.681653741,32237585,0
AlternatorE,90.4,4.61,527.170678781,167311225,0
AlternatorE,90.4,7.78,5.709940213,532428,1
AlternatorE,90.5,1.55,123.873928277,33760324,0
AlternatorE,90.5,3.75,309.975312206,92987135,0
AlternatorE,90.5,6.7,35.284498674,6111524,0
AlternatorE,90.5,7.49,436.843832363,139413295,0
AlternatorE,90.6,1.84,242.542300895,80996601,1
AlternatorE,90.6,4.01,68.123601622,18990525,0
AlternatorE,90.7,3.66,73.580294164,19131672,0
AlternatorE,90.7,7.3,418.028288112,130146341,0
AlternatorE,90.7,7.55,20.822698185,3057252,0
AlternatorE,90.8,2.23,80.250671071,19868911,0
AlternatorE,90.8,2.48,479.687251157,164868917,0
AlternatorE,90.9,2.26,7.216429081,1864500,0
AlternatorE,90.9,2.45,52.968085172,12460017,0
AlternatorE,90.9,4.37,113.545015637,29352588,0
AlternatorE,90.9,4.97,16.885509607,2525097,0
